example_id                                                              | status  | run_time        |
----------------------------------------------------------------------- | ------- | --------------- |
./spec/lib/slack/block_kit/blocks_spec.rb[1:1]                          | pending | 0.00001 seconds |
./spec/lib/slack/block_kit/composition/confirmation_dialog_spec.rb[1:1] | pending | 0.00001 seconds |
./spec/lib/slack/block_kit/composition/mrkdwn_spec.rb[1:1]              | pending | 0 seconds       |
./spec/lib/slack/block_kit/composition/option_group_spec.rb[1:1]        | pending | 0.00001 seconds |
./spec/lib/slack/block_kit/composition/option_spec.rb[1:1]              | pending | 0.00001 seconds |
./spec/lib/slack/block_kit/composition/plain_text_spec.rb[1:1]          | pending | 0.00001 seconds |
./spec/lib/slack/block_kit_spec.rb[1:1:1]                               | passed  | 0.00117 seconds |
./spec/lib/slack/block_kit_spec.rb[1:1:2]                               | passed  | 0.00401 seconds |
./spec/lib/slack/block_kit_spec.rb[1:1:3]                               | passed  | 0.00168 seconds |
